RSRP,RSRQ,RSSI,SNR,DL_bitrate,UL_bitrate,path
988,-78.0,-11.0,-62,12.0,15366.0,288.0,train
989,-78.0,-11.0,-60,12.0,15724.0,284.0,train
990,-74.0,-6.0,-59,15.0,13208.0,245.0,train
991,-74.0,-6.0,-62,15.0,19057.0,356.0,train
992,-77.0,-9.0,-60,14.0,19448.0,359.0,train
993,-77.0,-9.0,-64,14.0,17413.0,325.0,train
994,-78.0,-11.0,-61,11.0,25342.0,470.0,train
995,-78.0,-11.0,-55,11.0,26103.0,705.0,train
996,-75.0,-7.0,-58,14.0,14953.0,318.0,train
997,-75.0,-7.0,-60,14.0,14561.0,299.0,train
998,-80.0,-8.0,-63,12.0,11485.0,241.0,train
